song_id,genre
Tony!-Toni!-Ton%C3%A9!/Feels-Good,Contemporary R&B
The-Meters/Just-Kissed-My-Baby,Funk
The-Meters/Just-Kissed-My-Baby,Soul
The-Meters/Just-Kissed-My-Baby,Contemporary R&B
The-Meters/Just-Kissed-My-Baby,R&B
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Funk
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Pop/Rock
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,&Rb
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Américain
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Disco
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Club/Dance
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Urban
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Synth-Pop
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Hip Hop
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Vocal
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,New Jack Swing
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Pop
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Hi-Nrg
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Pop Soul
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,R B
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Rhythm And Blues
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Dance-Pop
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Rock
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Quiet Storm
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Electronic
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Contemporary R&B
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,R&B
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Ambient
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Italo-Disco
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Soul
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Jazz
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,Pop Rock
Brass-Construction/Get-Up-to-Get-Down,Funk
Public-Enemy/M.P.E.,Hip Hop
Public-Enemy/M.P.E.,Golden Age
Public-Enemy/M.P.E.,Political Rap
Public-Enemy/M.P.E.,East Coast Rap
Public-Enemy/M.P.E.,East Coast Hip Hop
Public-Enemy/M.P.E.,Hip Hop Rap
Public-Enemy/M.P.E.,Rap
Public-Enemy/M.P.E.,Conscious Hip Hop
Public-Enemy/M.P.E.,Hardcore Rap
Public-Enemy/M.P.E.,Rock
R.-Kelly/Your-Body%27s-Callin%27,Gospel
R.-Kelly/Your-Body%27s-Callin%27,Hip Hop Soul
R.-Kelly/Your-Body%27s-Callin%27,Contemporary R&B
R.-Kelly/Your-Body%27s-Callin%27,Criminal
Jungle-Brothers/I%27ll-House-You,Hip Hop
Jungle-Brothers/I%27ll-House-You,Rock And Indie
Jungle-Brothers/I%27ll-House-You,East Coast Hip Hop
Public-Enemy/Timebomb,Hip Hop
Public-Enemy/Timebomb,Golden Age
Public-Enemy/Timebomb,Political Rap
Public-Enemy/Timebomb,East Coast Rap
Public-Enemy/Timebomb,East Coast Hip Hop
Public-Enemy/Timebomb,Hip Hop Rap
Public-Enemy/Timebomb,Rap
Public-Enemy/Timebomb,Conscious Hip Hop
Public-Enemy/Timebomb,Hardcore Rap
Public-Enemy/Timebomb,Rock
The-Notorious-B.I.G./The-What,Death By Murder
The-Notorious-B.I.G./The-What,Hardcore Hip Hop
The-Notorious-B.I.G./The-What,Boom Bap
The-Notorious-B.I.G./The-What,East Coast Hip Hop
The-Notorious-B.I.G./The-What,Gangsta Rap
The-Notorious-B.I.G./The-What,Film Soundtrack
