song_id,genre
Curtis-Mayfield/Kung-Fu,funk
Curtis-Mayfield/Kung-Fu,american
Curtis-Mayfield/Kung-Fu,chicago soul
Curtis-Mayfield/Kung-Fu,crooners
Drake/Taylor-Made-Freestyle,hip hop
Saigon/If...(My-Mommy),hip hop
Trippie-Redd/Pray-4-Us,hip hop
Trippie-Redd/Pray-4-Us,emo rap
Trippie-Redd/Pray-4-Us,_add release
Trippie-Redd/Pray-4-Us,rage
Do-or-Die/Higher,hip hop
Do-or-Die/Higher,thug rap
Do-or-Die/Higher,midwestern hip hop
Do-or-Die/Higher,hip-hop
Do-or-Die/Higher,soul
Do-or-Die/Higher,gangsta rap
