"whosampled_id","mood_party","danceability_danceable","mood_relaxed","mood_sad","timbre_bright","tonal_atonal_atonal","cascade_size","temporal_influence"
"B.T.-Express/If-It-Don%27t-Turn-You-on-(You-Oughta-Leave-It-Alone)","0.624543845654","0.938522815704","0.533852219582","0.361153423786","0.992674350739","0.847869813442","47","0.15000000000000002"
"Cocoa-Tea/Easy-Nuh","","","","","","","",""
"Sexyy-Red/U-My-Everything","","","","","","","0","0.2775"
"DJ-Earworm/Summermash-%2724","","","","","","","",""
"Yuno-Miles/Drake-BBL-Freestyle","","","","","","","",""
"DJ-Earworm/United-State-of-Pop-2024-(Blame-It-on-the-Whiskey)","","","","","","","",""
"DJs-From-Mars/Best-of-2024-Megamashup","","","","","","","",""
"PACKGOD/BBL-DRIZZY-(Drake-Diss-Track)","","","","","","","",""
"Adamusic/Espresso-X-Say-So","","","","","","","",""
"TokenAngel/Bbl-Drizzy","","","","","","","",""
"RXKNephew/What-Does-BBL-Even-Mean","","","","","","","",""
"Kanye-West/Keep-the-Receipt","0.408027738333","0.994446754456","0.219723299146","0.181250363588","0.460783928633","0.932862222195","16","0.2775"
"The-24-Carat-Black/Poverty%27s-Paradise","0.044647205621","0.0866680368781","0.890889883041","0.354291141033","0.0777282863855","0.860032081604","21","0.15000000000000002"
"Kehlani/Table","","","","","","","",""
"En-Vogue/Hold-On","0.147762551904","0.992374777794","0.807137727737","0.311194807291","0.881643950939","0.0876951962709","15","0.20646428571428574"
"DJ-Quik/Thinkin%27-Bout-U","1.57784197654E-5","3.00000096379E-14","0.808817088604","0.289228796959","0.719324052334","0.188697606325","0","0.16537083333333336"
"Mustard/A-Song-for-Mom","","","","","","","0","0.16416666666666668"
"Crisis-Mr.-Swagger/Translation","","","","","","","",""
"K3y!/BBL-Drizzy","","","","","","","",""
"Curtis-Mayfield/Kung-Fu","0.182815283537","0.0907759219408","0.855329036713","0.470955461264","0.821827054024","0.029289226979","23","0.15000000000000002"
"Star-Trek/Scotty,-Beam-Us-Up","","","","","","","",""
"Drake/Taylor-Made-Freestyle","","","","","","","",""
"Saigon/If...(My-Mommy)","0.841949820518","0.984906077385","0.0185724571347","0.338997244835","0.904847323895","0.118627555668","0","0.16416666666666668"
"Trippie-Redd/Pray-4-Us","","","","","","","0","0.16416666666666668"
"Do-or-Die/Higher","0.469584673643","0.968740582466","0.591919481754","0.309879779816","0.121936172247","0.429086506367","0","0.16593750000000002"
"DJ-SoulChild-AC/BBL-DRIZZY-(Jersey-Club)","","","","","","","",""
"James-Brown/Don%27t-Tell-a-Lie-About-Me-and-I-Won%27t-Tell-the-Truth-on-You","0.75898039341","0.739686667919","0.173885181546","0.425833195448","0.976695001125","0.690984666348","25","0.15000000000000002"
"Vertical-Hold/Pray","","","","","","","2","0.15000000000000002"
"Rich-Boy/Throw-Some-D%27s","0.671027362347","0.99997895956","0.521478652954","0.126765862107","0.0954843983054","0.12830850482","11","0.29166666666666674"
"Masego/BBL-Drizzy-Sax-Diss.wav","","","","","","","",""
"Trev/Jill-Scott-Freestyle-Interlude","","","","","","","0","0.2928708333333334"
"Da-BackWudz/The-World-Could-Be-Yours","","","","","","","0","0.16416666666666668"
"Big-Sean/Memories-(Part-II)","0.588441133499","0.992740035057","0.0605349615216","0.330095082521","0.130714893341","0.977341353893","0","0.2821041666666667"
"Nas/Ether","0.910879850388","0.998412966728","0.036284558475","0.295364409685","0.516531825066","0.182042852044","9","0.2775"
"The-24-Carat-Black/Synopsis-One%3A-In-the-Ghetto-God-Save-the-World","","","","","","","6","0.15000000000000002"
"Isaiah-Rashad/Hii-(Fuck-Love)","0.464237481356","0.965374588966","0.925058603287","0.521816492081","0.256845742464","0.601082384586","0","0.16593750000000002"
"Kaaze/Papi","","","","","","","",""
"Knxwledge/Nevrseen-","0.447969943285","0.952229440212","0.146483242512","0.847632408142","0.984827816486","0.998861551285","0","0.16537083333333336"
"Oldpets/BBL-Drizzy","","","","","","","",""
"Asher-Roth/Maybe-I-Don%27t-Wanna","","","","","","","0","0.2928708333333334"
"Cash-Cobain/If-This-Were-Mine","","","","","","","0","0.16416666666666668"
"Ne-Yo/It-Just-Ain%27t-Right","0.0824468284845","0.999964475632","0.768625319004","0.336580812931","0.951098918915","0.370165169239","0","0.16416666666666668"
"1LP/BBL-DRIZZY","","","","","","","",""
"E.-Jones/Trust-Issues","","","","","","","0","0.16537083333333336"
"Jha-Jha/If-You-Were-Mine","","","","","","","0","0.16416666666666668"
"Knxwledge/OpinyunGayme-","0.230925142765","0.861347675323","0.909268558025","0.240664705634","0.113789744675","0.00465613929555","0","0.5466666666666667"
"Delroy-Edwards/Slap-a-Hoe-(Squeeky)","","","","","","","0","0.16593750000000002"
"$uicideboy$/Dead-Batteries","0.391032874584","0.976330697536","0.414156854153","0.408003509045","0.270050793886","0.062342133373","0","0.32000000000000006"
"JPEGMAFIA/SCARING-THE-HOES","","","","","","","0","0.1989742299107143"
"DJ-Smokey/Drugz","","","","","","","0","0.5885468750000001"
"Panacea/Vandalism","1.5093739421E-5","0.0221720263362","0.808817088604","0.450704485178","0.927163302898","0.671094119549","0","0.16593750000000002"
"Bones/ComeListenToThisShit,IFoundMyUnclesOldWalkman","0.942034184933","0.999994814396","0.829484283924","0.175437226892","0.00452304352075","9.49207446865E-7","0","0.16537083333333336"
"Atlantic-Connection/Wonderful-Life","0.956595599651","0.997557282448","0.5","0.173940569162","0.0509461648762","0.587026953697","0","0.16416666666666668"
"Master-P/Would-You","","","","","","","0","0.16416666666666668"
"DJ-Squeeky/Don%27t-Make-a-Move","","","","","","","1","0.16593750000000002"
"DJ-Collo/The-Heart-Part-6","","","","","","","0","0.15000000000000002"
"Danny-Brown/Really-Doe","0.631040871143","0.913697361946","0.0836396068335","0.210547924042","0.5","0.840674698353","0","0.44750000000000006"
"ScHoolboy-Q/Figg-Get-Da-Money","0.105897009373","0.921245217323","0.767061471939","0.363380521536","0.214827284217","0.110512718558","0","0.30962601562500003"
"Wu-Tang-Clan/Tearz","","","","","","","10","0.29875000000000007"
"JPEGMAFIA/Don%27t-Rely-on-Other-Men","","","","","","","",""
"Jamie-Foxx/Infatuation","","","","","","","1","0.15000000000000002"
"DJ-Collo/Bbl-Drizzy-Og","","","","","","","0","0.15000000000000002"
"Siddiq/5am-in-San-Jose","","","","","","","0","0.16537083333333336"
"The-Late-Night-Affair/The-Way-(Salah-Ananse-Mix)","","","","","","","",""
"Lil-Yachty/India-(Oh-Love)","","","","","","","",""
"Papoose/Law-Library-Pt.-2","","","","","","","0","0.16593750000000002"
"DeeeP/BBL-DRIZZY-(Jungle-Remix)","","","","","","","",""
"Yelawolf/I-Wish","0.777345895767","0.993291735649","0.316978007555","0.188914358616","0.00530231604353","0.00412667123601","0","0.19250000000000003"
"Doja-Cat/Say-So","0.347137540579","0.999494075775","0.85377907753","0.579034268856","0.983297765255","0.264049649239","2","0.15000000000000002"
"Ariana-Grande/Fake-Smile","0.318054616451","0.991904020309","0.775631606579","0.723860919476","0.0235149580985","0.598247170448","0","0.15000000000000002"
"JPEGMAFIA/Steppa-Pig","","","","","","","0","0.3540000000000001"
"6ix9ine/FEFE","0.376684874296","0.999951004982","0.794458925724","0.22645534575","0.00202189804986","0.00261829025112","0","0.15000000000000002"
"Teyana-Taylor/Gonna-Love-Me","0.107999317348","0.934136688709","0.93445122242","0.608522236347","0.957559525967","0.184411987662","1","0.29025"
"Kendrick-Lamar/FEAR.","0.150636538863","0.978030920029","0.608313500881","0.378405958414","0.374173939228","0.624271929264","1","0.16416666666666668"
"J.-Cole/Amari","","","","","","","0","0.15000000000000002"
